Date/Time;Environment:Site Outdoor Air Drybulb Temperature [C](Hourly);BUREAU:Zone Operative Temperature [C](Hourly);BUREAU IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly);BUREAU:Zone Heat Index [C](Hourly) 
 01/04  04:00:00;19.416666666666668;23.502977522628886;0.0;0.0 
 01/04  05:00:00;19.0;23.046093014506393;0.0;0.0 
 01/04  06:00:00;17.308333333333334;21.976372290320796;0.0;0.0 
 01/04  07:00:00;16.041666666666668;25.362228648343677;0.0;0.0 
 01/04  08:00:00;16.0;25.97468276577403;0.0;0.0 
 01/04  09:00:00;18.333333333333332;26.211586453179702;0.0;0.0 
 01/04  10:00:00;22.333333333333332;26.59756616706459;407278.14587874245;0.0 
 01/04  11:00:00;26.333333333333332;26.98179711822431;1051568.4018732174;0.0 
 01/04  12:00:00;29.28333333333333;27.403873108042955;1788454.2922247052;0.0 
 01/04  13:00:00;31.133333333333336;27.83201564180226;2754974.9312063754;0.0 
 01/04  14:00:00;32.675000000000004;28.25000445860124;3827008.508388574;0.0 
 01/04  15:00:00;34.23333333333333;28.628457788757302;4851403.040319059;0.0 
 01/04  16:00:00;34.666666666666664;28.898956879142744;5602345.419962757;0.0 
 01/04  17:00:00;34.208333333333336;28.98658069393096;5850272.071906581;0.0 
 01/04  18:00:00;33.416666666666664;28.888789389370398;5575466.399358144;0.0 
 01/04  19:00:00;30.666666666666668;28.660754763494648;4950599.528523691;0.0 
 01/04  20:00:00;27.833333333333332;28.425565388128945;4289259.047434774;0.0 
 01/04  21:00:00;25.833333333333332;28.221988333085125;3710963.8352113366;0.0 
 01/04  22:00:00;24.416666666666668;28.038824976962896;3212888.27505629;0.0 
 01/04  23:00:00;24.0;26.978045896246446;0.0;0.0 
 01/04  24:00:00;23.358333333333334;26.437915879404198;0.0;0.0 
 01/05  01:00:00;22.258333333333336;25.659618452430518;0.0;0.0 
 01/05  02:00:00;21.099999999999998;24.8338463513617;0.0;0.0 
 01/05  03:00:00;19.958333333333332;23.997440079662493;0.0;0.0 
 01/05  04:00:00;18.508333333333333;22.995494953570084;0.0;0.0 
 01/05  05:00:00;16.75;21.80123266481057;0.0;0.0 
 01/05  06:00:00;14.891666666666666;20.522320338519705;0.0;0.0 
 01/05  07:00:00;13.808333333333332;24.769019605727326;0.0;0.0 
 01/05  08:00:00;13.25;25.51205545757276;0.0;0.0 
 01/05  09:00:00;15.975;25.775989015903292;0.0;0.0 
 01/05  10:00:00;21.541666666666668;26.378313842892695;168949.80812865;0.0 
 01/05  11:00:00;26.333333333333332;26.84377089746954;873325.1643638975;0.0 
 01/05  12:00:00;28.991666666666664;27.27592188224685;1597542.9552111672;0.0 
 01/05  13:00:00;30.516666666666666;27.702454388067967;2534931.237723356;0.0 
 01/05  14:00:00;31.974999999999998;28.116189141061344;3571914.6355547076;0.0 
 01/05  15:00:00;33.416666666666664;28.484951424284148;4551249.523334065;0.0 
 01/05  16:00:00;34.0;28.75446780878592;5283490.07398001;0.0 
 01/05  17:00:00;34.0;28.86249065435622;5576353.607937221;0.0 
 01/05  18:00:00;33.53333333333333;28.791941672790553;5381553.360283364;0.0 
 01/05  19:00:00;30.166666666666668;28.56819825238311;4794105.0919005545;0.0 
