time,Niaye,bassin_arachidien,casamance,senegal_oriental,vallee_fleuve_senegal,zone_sylvo_pastoral
1950-01-11 03:00:00,295.25623,291.04123,289.3852,289.79205,,290.31686
1950-01-11 06:00:00,294.81308,289.1971,287.4405,287.9453,,288.60672
1950-01-11 09:00:00,295.06015,290.97836,289.7148,290.6897,,291.7928
1950-01-11 12:00:00,296.72382,300.6393,298.26266,298.95984,,300.13766
1950-01-11 15:00:00,299.1593,304.75958,303.0414,303.20526,,303.97275
1950-01-11 18:00:00,299.72195,304.25543,302.70166,302.16708,,303.4975
1950-01-11 21:00:00,297.3992,295.1039,296.4756,295.04535,,297.80127
1950-01-12 00:00:00,295.83115,291.66443,293.47064,292.18976,,294.48108
1950-01-12 03:00:00,295.4122,291.36072,290.23468,290.03784,,290.2236
1950-01-12 06:00:00,294.9896,290.25754,288.76083,288.16995,,288.3976
1950-01-12 09:00:00,295.14316,291.4532,290.2951,290.74985,,292.3304
1950-01-12 12:00:00,297.06796,300.04526,298.1895,298.67444,,300.22324
1950-01-12 15:00:00,299.3861,304.65997,302.89923,302.88385,,304.3533
1950-01-12 18:00:00,299.86853,304.0254,302.5459,302.0582,,303.68604
1950-01-12 21:00:00,297.49567,297.3441,295.8446,295.46283,,296.35678
1950-01-13 00:00:00,296.45636,292.39655,294.6447,293.81464,,292.30408
1950-01-13 03:00:00,295.7216,290.90564,291.67633,290.32,,290.4677
1950-01-13 06:00:00,295.4685,289.66058,289.68695,288.90497,,289.286
1950-01-13 09:00:00,295.1992,291.7735,290.239,291.14673,,291.63718
1950-01-13 12:00:00,296.6978,299.07437,297.09,297.5767,,300.0524
1950-01-13 15:00:00,298.83426,303.81015,301.96902,302.0074,,304.1721
1950-01-13 18:00:00,299.43842,303.6865,302.04688,301.28867,,303.59238
1950-01-13 21:00:00,297.2129,295.8531,296.76117,295.71356,,296.3574
1950-01-14 00:00:00,296.2976,293.9581,293.61102,293.84973,,293.32224
1950-01-14 03:00:00,295.59702,292.32495,291.36093,291.97888,,290.94333
1950-01-14 06:00:00,295.2751,290.95178,289.38306,289.93628,,289.49814
1950-01-14 09:00:00,295.02762,291.39108,289.62042,290.18744,,291.97046
1950-01-14 12:00:00,296.83447,298.5267,296.4616,296.41782,,299.53775
1950-01-14 15:00:00,298.69748,302.9578,301.1961,300.83887,,303.32553
1950-01-14 18:00:00,299.37628,302.88458,301.13937,300.15262,,303.1322
1950-01-14 21:00:00,297.3206,295.55972,296.17,294.79358,,296.58453
1950-01-15 00:00:00,296.551,292.59833,293.7356,292.1209,,293.39584
1950-01-15 03:00:00,295.97876,290.90308,289.73578,290.07764,,291.49084
1950-01-15 06:00:00,295.25006,289.8419,288.15796,288.5725,,288.8279
1950-01-15 09:00:00,294.9376,290.93896,289.01584,288.66327,,291.6875
1950-01-15 12:00:00,296.4723,297.50214,295.14023,294.6962,,298.86594
1950-01-15 15:00:00,298.24222,302.15515,299.76712,298.92413,,303.03845
1950-01-15 18:00:00,298.96667,301.9022,299.4584,298.38663,,302.7546
1950-01-15 21:00:00,297.50815,296.05704,293.18912,292.9146,,296.22073
1950-01-16 00:00:00,296.29358,291.36893,290.70267,290.57587,,292.3396
1950-01-16 03:00:00,295.84512,290.8402,288.26398,288.7461,,290.1432
1950-01-16 06:00:00,294.76477,288.94788,286.3843,286.41824,,288.10037
1950-01-16 09:00:00,294.2137,288.7712,287.41202,287.52753,,290.40295
1950-01-16 12:00:00,295.1059,295.5999,293.42734,293.5942,,297.59024
1950-01-16 15:00:00,296.84366,300.66684,298.3021,298.00378,,302.05615
1950-01-16 18:00:00,297.9919,300.6903,298.32916,297.4541,,301.8838
1950-01-16 21:00:00,296.8281,293.9337,292.5861,291.31042,,294.74197
1950-01-17 00:00:00,295.95663,290.6444,290.06638,288.595,,291.61707
1950-01-17 03:00:00,295.06964,289.65076,288.87784,288.45496,,288.54163
1950-01-17 06:00:00,294.35794,286.5208,287.47922,286.5821,,286.65817
1950-01-17 09:00:00,293.85547,288.63013,287.61072,287.12708,,289.699
1950-01-17 12:00:00,294.90674,295.01398,292.93762,293.0608,,296.96152
1950-01-17 15:00:00,296.81247,299.91043,297.67313,297.3057,,301.0494
1950-01-17 18:00:00,297.89206,300.0891,297.56384,297.15692,,301.20297
1950-01-17 21:00:00,296.7612,294.01508,292.19266,291.42877,,294.59238
1950-01-18 00:00:00,295.82697,291.88107,289.49316,290.08185,,291.3331
1950-01-18 03:00:00,295.18985,288.5085,288.78207,288.1859,,289.04736
1950-01-18 06:00:00,294.4979,288.18243,286.9483,286.98334,,287.04916
1950-01-18 09:00:00,293.9523,288.83914,287.0065,287.62518,,290.0967
1950-01-18 12:00:00,294.91492,295.5084,293.3509,293.8943,,297.25208
1950-01-18 15:00:00,296.8993,300.1581,298.00223,298.09848,,301.28146
1950-01-18 18:00:00,298.0026,300.32513,298.05356,297.58105,,301.35928
1950-01-18 21:00:00,296.98444,295.1868,293.44116,292.5475,,295.1487
1950-01-19 00:00:00,296.0098,292.2846,291.4891,289.93158,,292.29434
1950-01-19 03:00:00,295.38138,290.52945,289.40884,287.83023,,290.11862
1950-01-19 06:00:00,294.61368,289.08014,287.12616,285.88306,,289.0494
1950-01-19 09:00:00,294.05255,288.73895,286.6434,286.6683,,290.53445
1950-01-19 12:00:00,295.00092,294.597,292.38602,292.2966,,296.6604
1950-01-19 15:00:00,296.83102,299.9011,296.9712,295.9984,,300.68564
1950-01-19 18:00:00,297.87003,299.2016,296.655,295.1753,,300.5446
1950-01-19 21:00:00,296.9277,293.86542,291.75992,291.01666,,294.10916
1950-01-20 00:00:00,295.87393,291.30273,289.27423,288.3966,,291.72733
1950-01-20 03:00:00,295.14612,289.07742,286.4627,286.1406,,289.4717
1950-01-20 06:00:00,293.79404,286.7084,284.55484,284.34143,,287.86682
1950-01-20 09:00:00,292.8145,286.48755,284.39023,285.3247,,288.9942
