zone,year,hot_days,period
casamance,2052,106,future
casamance,2053,154,future
casamance,2054,112,future
casamance,2055,119,future
casamance,2056,156,future
casamance,2057,141,future
casamance,2058,114,future
casamance,2059,163,future
casamance,2060,141,future
casamance,2061,122,future
casamance,2062,105,future
casamance,2063,168,future
casamance,2064,187,future
casamance,2065,137,future
casamance,2066,185,future
casamance,2067,160,future
casamance,2068,156,future
casamance,2069,143,future
niaye,2040,16,future
niaye,2041,76,future
niaye,2042,41,future
niaye,2043,78,future
niaye,2044,97,future
niaye,2045,91,future
niaye,2046,107,future
niaye,2047,118,future
niaye,2048,128,future
niaye,2049,43,future
niaye,2050,53,future
niaye,2051,93,future
niaye,2052,90,future
niaye,2053,71,future
niaye,2054,91,future
niaye,2055,97,future
niaye,2056,91,future
niaye,2057,106,future
niaye,2058,83,future
niaye,2059,54,future
niaye,2060,98,future
niaye,2061,101,future
niaye,2062,84,future
niaye,2063,66,future
niaye,2064,87,future
niaye,2065,56,future
niaye,2066,103,future
niaye,2067,104,future
niaye,2068,127,future
niaye,2069,74,future
senegal_oriental,2040,63,future
senegal_oriental,2041,79,future
senegal_oriental,2042,91,future
senegal_oriental,2043,109,future
senegal_oriental,2044,127,future
senegal_oriental,2045,101,future
senegal_oriental,2046,110,future
senegal_oriental,2047,103,future
senegal_oriental,2048,129,future
senegal_oriental,2049,82,future
senegal_oriental,2050,101,future
senegal_oriental,2051,139,future
senegal_oriental,2052,132,future
senegal_oriental,2053,148,future
senegal_oriental,2054,106,future
senegal_oriental,2055,120,future
senegal_oriental,2056,142,future
senegal_oriental,2057,163,future
senegal_oriental,2058,131,future
senegal_oriental,2059,165,future
senegal_oriental,2060,155,future
senegal_oriental,2061,131,future
senegal_oriental,2062,135,future
senegal_oriental,2063,189,future
senegal_oriental,2064,188,future
senegal_oriental,2065,160,future
senegal_oriental,2066,206,future
senegal_oriental,2067,177,future
senegal_oriental,2068,194,future
senegal_oriental,2069,168,future
vallee_fleuve_senegal,2040,0,future
vallee_fleuve_senegal,2041,0,future
vallee_fleuve_senegal,2042,0,future
vallee_fleuve_senegal,2043,0,future
vallee_fleuve_senegal,2044,0,future
vallee_fleuve_senegal,2045,0,future
vallee_fleuve_senegal,2046,0,future
vallee_fleuve_senegal,2047,0,future
vallee_fleuve_senegal,2048,0,future
vallee_fleuve_senegal,2049,0,future
vallee_fleuve_senegal,2050,0,future
vallee_fleuve_senegal,2051,0,future
vallee_fleuve_senegal,2052,0,future
vallee_fleuve_senegal,2053,0,future
vallee_fleuve_senegal,2054,0,future
vallee_fleuve_senegal,2055,0,future
vallee_fleuve_senegal,2056,0,future
vallee_fleuve_senegal,2057,0,future
vallee_fleuve_senegal,2058,0,future
vallee_fleuve_senegal,2059,0,future
vallee_fleuve_senegal,2060,0,future
vallee_fleuve_senegal,2061,0,future
vallee_fleuve_senegal,2062,0,future
vallee_fleuve_senegal,2063,0,future
vallee_fleuve_senegal,2064,0,future
vallee_fleuve_senegal,2065,0,future
vallee_fleuve_senegal,2066,0,future
vallee_fleuve_senegal,2067,0,future
vallee_fleuve_senegal,2068,0,future
vallee_fleuve_senegal,2069,0,future
zone_sylvo_pastoral,2040,33,future
zone_sylvo_pastoral,2041,74,future
zone_sylvo_pastoral,2042,103,future
zone_sylvo_pastoral,2043,124,future
zone_sylvo_pastoral,2044,147,future
zone_sylvo_pastoral,2045,116,future
zone_sylvo_pastoral,2046,105,future
zone_sylvo_pastoral,2047,109,future
zone_sylvo_pastoral,2048,108,future
zone_sylvo_pastoral,2049,97,future
zone_sylvo_pastoral,2050,97,future
zone_sylvo_pastoral,2051,104,future
