zone,month,tas_mean,huss_mean,vas_mean,rsds_mean
bassin_arachidien,1,25.889779873655936,0.32845955655645165,-1.7184258393388723,205.7514536595699
bassin_arachidien,2,27.372903957842006,0.3768986024719929,-2.065531348675675,234.418523213921
bassin_arachidien,3,29.315686788978518,0.5512605325346774,-1.9232023749234408,262.19260111989246
bassin_arachidien,4,30.540637269444467,0.7141987937666666,-1.7898975585065902,283.5616669836111
bassin_arachidien,5,31.606323881720453,0.9135198908172043,-1.3864349390715,295.06966538508067
bassin_arachidien,6,32.45643316250002,1.148527049261111,-0.27581267735052917,284.0199261641528
bassin_arachidien,7,32.502583134408624,1.4717144743198924,0.051948511117486565,274.06740701230643
bassin_arachidien,8,31.743017709677442,1.6851960045524195,0.7063804892901343,248.1865095926692
bassin_arachidien,9,31.224583134722245,1.835267698576389,0.49355797031498055,241.75789830701305
bassin_arachidien,10,31.50169793413981,1.553913319389785,-0.05928958275456721,246.47401535681237
bassin_arachidien,11,29.528851023611132,0.7814401703134722,-0.599122682700837,221.29549302973058
bassin_arachidien,12,26.348993215053785,0.40320883472311825,-1.1504101444865498,195.89641370378092
casamance,1,24.45552819086024,0.32036583693682796,-1.7902234317506245,200.36039646796775
casamance,2,26.15311703272408,0.3478323113788325,-2.4440794409885616,231.6173193614549
casamance,3,28.429206779569913,0.4820291659219086,-2.6879263394749193,261.3772442711613
casamance,4,29.727317687500022,0.64495624732,-2.7035489201546667,285.5034276874028
casamance,5,30.888919422043035,0.853213162842742,-2.4811344186892486,296.9407895038844
casamance,6,31.750533527777797,1.0601536117486112,-1.1097778981150597,283.5320761748472
casamance,7,31.67065100134411,1.339387007733871,-0.7997004901042567,280.83998642993953
casamance,8,32.24139064919357,1.5435677685524194,-0.21510815419473792,263.73032446902823
casamance,9,32.55528046388891,1.6353968432291668,-0.24469359419564723,255.82936727611667
casamance,10,32.229326756720454,1.3051487737903225,-0.698266864166751,246.6518525243078
casamance,11,29.04557265416669,0.6110022076444445,-1.0712645595231458,217.62490267722637
casamance,12,25.207641107526904,0.36930015385846776,-1.2697020419520646,189.80349869323427
niaye,1,24.732226940860237,1.127171012001344,-4.526576835105525,205.73239964055912
niaye,2,24.179686089327852,1.1765305758475826,-3.9523055671447525,230.80070538378538
niaye,3,23.425555978494646,1.2516225990927419,-3.2614126218015054,256.4727799121102
niaye,4,22.644015423611133,1.272668749225,-3.41382416570814,273.14018219216666
niaye,5,22.34058000134411,1.3234112895497312,-3.482354131313683,277.7168321260753
niaye,6,24.088152029166686,1.4971863320208334,-2.0721922299822797,262.32556076876386
niaye,7,26.67095731451615,1.7139077383736558,-1.5161619956778898,244.64915996683467
niaye,8,28.189343705645182,1.8556875298252689,-0.5470247699823387,224.61800968022177
niaye,9,29.213349383333355,1.9331315463749998,-0.5107734475413056,224.59377269240696
niaye,10,29.377985715053786,1.8157374801344086,-1.704798442121653,240.00481555474465
niaye,11,27.600461261111136,1.4717315154166666,-2.2891334349770553,220.58997848470418
niaye,12,25.87659915994626,1.1933293766182795,-4.033968346449879,197.4398502287648
senegal_oriental,1,25.24117680510755,0.26421726897715053,-1.3509397191716264,203.3124708191484
senegal_oriental,2,27.326443015919832,0.25280921556692215,-1.6755369619208313,233.54365077881678
senegal_oriental,3,30.36122926881723,0.31846902102553765,-1.813033312773387,260.28965737649594
senegal_oriental,4,32.53342234583336,0.44065149507430557,-1.8166923208606987,280.62589400889584
senegal_oriental,5,34.884283923387116,0.6683979858521505,-1.482943041070078,293.4703244118145
senegal_oriental,6,35.679892733333354,0.9730517755208334,-0.351026422987025,284.01961271494446
senegal_oriental,7,34.66418216263443,1.359488348299731,-0.047247770189596236,277.84435416143816
senegal_oriental,8,33.62562667338712,1.6042889052083333,0.5110097599136976,258.5836162646626
senegal_oriental,9,32.9423009902778,1.7172794885944445,0.42740012894654583,254.17531994476388
senegal_oriental,10,32.72125956586024,1.3119561655510752,0.15119944808538574,245.69545533075808
senegal_oriental,11,30.09922072916669,0.5143668400277778,-0.6713982201326806,219.7537982655018
senegal_oriental,12,25.69597835483873,0.3270081999986559,-0.995010969666617,193.2114227569492
vallee_fleuve_senegal,1,,,,
vallee_fleuve_senegal,2,,,,
vallee_fleuve_senegal,3,,,,
vallee_fleuve_senegal,4,,,,
vallee_fleuve_senegal,5,,,,
vallee_fleuve_senegal,6,,,,
vallee_fleuve_senegal,7,,,,
vallee_fleuve_senegal,8,,,,
vallee_fleuve_senegal,9,,,,
vallee_fleuve_senegal,10,,,,
vallee_fleuve_senegal,11,,,,
vallee_fleuve_senegal,12,,,,
zone_sylvo_pastoral,1,26.008637928763463,0.6192821056330645,-0.7969061347019072,212.20747907985347
zone_sylvo_pastoral,2,27.107439548938704,0.6686886487072523,-0.8248342986210908,236.30435258512972
zone_sylvo_pastoral,3,28.720443555107547,0.8192190806088709,-0.5462227986462825,261.53149955659944
zone_sylvo_pastoral,4,29.94469618055558,0.9349206786944444,-0.3893964295733889,280.2867923299861
zone_sylvo_pastoral,5,31.25165490994626,1.1232256143991937,-0.015077085137717742,290.4525411964785
zone_sylvo_pastoral,6,32.11848606805558,1.454674703434722,0.6911902617985681,276.3008504934306
zone_sylvo_pastoral,7,30.76028318951615,1.7701759969086022,0.8898960234530322,241.07065915231584
zone_sylvo_pastoral,8,29.45002062634411,1.8699175995900537,1.0123103474101007,202.06154154488573
zone_sylvo_pastoral,9,29.155248833333356,1.978782423576389,0.6615545653180278,209.48417293461944
zone_sylvo_pastoral,10,29.670082270161313,1.860232257607527,0.3116732436819188,237.04645289304435
zone_sylvo_pastoral,11,29.04748125138891,1.2327209002347221,0.07233406846077861,224.9875845308972
zone_sylvo_pastoral,12,26.64642161155916,0.7436849899556452,-0.5078909334566357,203.3520455991519
