zone,year,hot_days,threshold_90pct
zone_sylvo_pastoral,2051,104,34.693350000000045
zone_sylvo_pastoral,2052,108,34.693350000000045
zone_sylvo_pastoral,2053,106,34.693350000000045
zone_sylvo_pastoral,2054,112,34.693350000000045
zone_sylvo_pastoral,2055,115,34.693350000000045
zone_sylvo_pastoral,2056,117,34.693350000000045
zone_sylvo_pastoral,2057,163,34.693350000000045
zone_sylvo_pastoral,2058,139,34.693350000000045
zone_sylvo_pastoral,2059,141,34.693350000000045
zone_sylvo_pastoral,2060,151,34.693350000000045
zone_sylvo_pastoral,2061,130,34.693350000000045
zone_sylvo_pastoral,2062,147,34.693350000000045
zone_sylvo_pastoral,2063,211,34.693350000000045
zone_sylvo_pastoral,2064,212,34.693350000000045
zone_sylvo_pastoral,2065,205,34.693350000000045
zone_sylvo_pastoral,2066,197,34.693350000000045
zone_sylvo_pastoral,2067,192,34.693350000000045
zone_sylvo_pastoral,2068,204,34.693350000000045
zone_sylvo_pastoral,2069,219,34.693350000000045
