zone,month,tas_mean,huss_mean,vas_mean,rsds_mean
bassin_arachidien,1,23.58074051604582,0.2973748121912595,-1.8439054116429447,210.3426696608934
bassin_arachidien,2,25.380578829674246,0.31808390464483,-2.0651099067574967,242.26024368351273
bassin_arachidien,3,27.254819977419377,0.4470604494932258,-1.9298856125318145,274.75779004880644
bassin_arachidien,4,28.693388933333356,0.6233978084590001,-1.9071325697054817,293.7869101712667
bassin_arachidien,5,29.757766256451635,0.7953497234306451,-1.4220069234114385,296.2813282026774
bassin_arachidien,6,30.820987338333357,1.086846783235,-0.3812589575625883,290.04325402833337
bassin_arachidien,7,30.139562114516153,1.4266323638790321,0.20918410243140323,282.8763403956129
bassin_arachidien,8,28.5708455903226,1.6841317390806452,0.8070123272882483,250.4142731101387
bassin_arachidien,9,27.989285030000023,1.7758283621883333,0.28835406053766915,261.95961507082666
bassin_arachidien,10,28.8198923387097,1.3788129101258064,-0.026450209508569997,259.40000547270967
bassin_arachidien,11,26.767704153333355,0.6224404640533333,-0.6508166173045091,227.96705228447166
bassin_arachidien,12,23.702497911290344,0.3295606421880645,-1.1800199749980806,206.00251934040645
casamance,1,22.08167969843576,0.2987902554510563,-1.9603567590385826,203.3100390770303
casamance,2,24.118407245042516,0.3022509960612606,-2.4598659979062143,237.3874447005843
casamance,3,26.38251434677422,0.39884509732338713,-2.6231699109385,273.189650732129
casamance,4,27.925978278333353,0.5599091132716667,-2.959280181417907,294.6279243480167
casamance,5,29.08265182741938,0.7319774256661291,-2.515694699121224,297.2243847452581
casamance,6,30.114353088333353,0.9877191758549999,-1.2003395814921267,290.31941864525
casamance,7,30.284290022580667,1.2257345475758064,-0.7097903450597549,291.58069539064513
casamance,8,30.097929624193572,1.5128442489741936,0.1863246175272742,274.57095136460646
casamance,9,29.850943310000023,1.5715419491733333,-0.10467690609736667,273.50906858417335
casamance,10,29.673747779032283,1.086836916932258,-0.5955993179183817,259.18886087593546
casamance,11,26.102973820000024,0.47322352150166663,-1.1380843329314667,223.28983309340833
casamance,12,22.589096882258087,0.3141963968758064,-1.2428261598609387,197.2803067980839
niaye,1,23.117369079180797,0.981415319525883,-5.141515970084551,211.49039459517013
niaye,2,22.87225412712467,1.0421327564323655,-4.390490973789705,240.19080120127478
niaye,3,22.36477815322583,1.1331330559806452,-3.6518792283197175,268.7488357132903
niaye,4,21.58870693666669,1.158884007755,-3.95788338968925,284.3759997439167
niaye,5,21.464127072580666,1.2130089406854838,-3.669827438529623,282.1056930017742
niaye,6,23.331288410000024,1.4070695318750002,-2.2162321167447834,267.89568151891666
niaye,7,26.23881162258067,1.5901866568951615,-1.5718065575093063,254.1784429636129
niaye,8,27.297829979032283,1.7339480333870967,-0.07474181443285968,219.57048510760643
niaye,9,28.083504185000024,1.7627795183583332,-0.45917362147395,244.76074394527768
niaye,10,28.42498997903228,1.6130881712903224,-1.7238240162367533,254.22397700221774
niaye,11,26.60003512166669,1.2710351484566667,-2.9048629414396165,227.81398718724
niaye,12,24.33195362419357,1.0332134904048387,-4.359694932727258,207.71700307203707
senegal_oriental,1,22.866955202386734,0.2362590089854862,-1.6449200672366393,207.85563493805967
senegal_oriental,2,25.15029227868274,0.2236216946595255,-1.794406742062022,240.54276731004072
senegal_oriental,3,27.88473878387099,0.2616703666074194,-1.8542567997754031,273.9294781931742
senegal_oriental,4,30.51813258833336,0.38667744790633335,-1.9140526431041331,291.7508778729167
senegal_oriental,5,32.42207025645164,0.5912882476048387,-1.3982261029616356,295.2416268046129
senegal_oriental,6,33.40654432500003,0.9664352819483334,-0.08968276826885933,290.1796904257
senegal_oriental,7,31.939351790322604,1.3341332048741934,0.5668760168287339,286.8354710826129
senegal_oriental,8,29.91981417096777,1.614622858398387,0.8133285621674081,266.7832329727436
senegal_oriental,9,29.440711463333354,1.6379189180699998,0.50715195891705,271.70956996683
senegal_oriental,10,29.934656520967767,1.105367308048387,0.21029637728670808,258.8809157862016
senegal_oriental,11,26.979095220000023,0.4174816856575,-0.697272818180425,226.38495318524932
senegal_oriental,12,23.08636985322583,0.2710832072145161,-1.1530093112073063,203.26661861116483
vallee_fleuve_senegal,1,,,,
vallee_fleuve_senegal,2,,,,
vallee_fleuve_senegal,3,,,,
vallee_fleuve_senegal,4,,,,
vallee_fleuve_senegal,5,,,,
vallee_fleuve_senegal,6,,,,
vallee_fleuve_senegal,7,,,,
vallee_fleuve_senegal,8,,,,
vallee_fleuve_senegal,9,,,,
vallee_fleuve_senegal,10,,,,
vallee_fleuve_senegal,11,,,,
vallee_fleuve_senegal,12,,,,
zone_sylvo_pastoral,1,23.917866639251756,0.5256350159812934,-1.0489644321402531,219.38322560286085
zone_sylvo_pastoral,2,25.1966024805241,0.579005353845609,-0.9648096157447699,246.1910410321813
zone_sylvo_pastoral,3,26.771968420967763,0.7048951300306452,-0.6624468576894031,274.05537127766127
zone_sylvo_pastoral,4,28.25385567333336,0.8449827045783332,-0.4468919223883734,291.8017165142
zone_sylvo_pastoral,5,29.413566074193568,1.0266948778080645,-0.03731590753982258,293.58444980932256
zone_sylvo_pastoral,6,29.90176359166669,1.4326090249716665,0.648790256653233,278.98944668778336
zone_sylvo_pastoral,7,27.991147950000023,1.705864099564516,0.7851477485425371,249.6335332529355
zone_sylvo_pastoral,8,26.63839363387099,1.7783187342419355,0.7666360686036178,205.17485203246838
zone_sylvo_pastoral,9,26.764975433333355,1.8157065122333333,0.4090788903947409,238.90575046149334
zone_sylvo_pastoral,10,27.35479296935486,1.671023070717742,0.29693858927449357,252.27677821462902
